ReleaseDate,GenreIsNonGame_count,GenreIsIndie_count,GenreIsAction_count,GenreIsAdventure_count,GenreIsCasual_count,GenreIsStrategy_count,GenreIsRPG_count,GenreIsSimulation_count,GenreIsEarlyAccess_count,GenreIsFreeToPlay_count,GenreIsSports_count,GenreIsRacing_count,GenreIsMassivelyMultiplayer_count,ReleaseDate,game_number
2012,5,155,175,98,45,76,61,33,1,27,9,13,20,2012,318
2013,6,224,227,143,58,102,83,73,17,27,17,19,15,2013,421
2007,0,8,56,9,9,21,9,1,0,1,0,3,0,2007,91
2011,0,83,122,45,35,69,42,26,0,12,6,12,10,2011,237
2015,17,878,582,475,288,303,273,257,143,169,51,44,72,2015,1242
2009,0,46,89,36,23,49,35,21,0,2,5,7,0,2009,199
2004,0,0,8,0,0,0,0,0,0,0,0,0,0,2004,8
1998,0,0,1,0,0,0,0,0,0,0,0,0,0,1998,1
2010,0,54,93,41,30,47,31,19,0,1,4,7,1,2012,192
2016,17,727,481,413,280,233,223,230,155,154,59,42,82,2016,1067
2006,0,5,22,0,3,16,5,1,0,0,0,5,0,2006,47
2000,0,0,2,0,0,0,0,0,0,0,0,0,0,2000,2
2008,0,14,54,20,7,19,9,11,0,1,1,9,0,2008,102
2014,10,669,499,381,229,229,239,171,75,79,35,48,45,2014,1036
2005,0,1,1,0,0,1,2,0,0,0,0,0,0,2005,4
2001,0,1,3,0,0,1,2,0,0,0,0,0,0,2001,4
2003,0,1,2,0,1,0,0,0,0,0,0,0,0,2003,2
1999,0,0,2,0,0,0,0,0,0,0,0,0,0,1999,2
1997,0,1,1,0,0,0,0,0,0,0,0,1,0,1997,1
2017,0,3,4,2,0,0,2,0,2,0,0,0,1,2017,4
